graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n9_d75_adj_matrix,random,1,1193.28,2.0000417760002165,325,9,208298,0,time_limit
graph_n9_d75_adj_matrix,random,2,1193.19,2.00004115900083,226,4,216427,0,time_limit
graph_n9_d75_adj_matrix,greedy,0,1193.28,2.0000191690014617,12,3,187925,0,time_limit
graph_n9_d75_adj_matrix,greedy,1,1193.28,2.0000212059985643,20,3,195228,0,time_limit
graph_n9_d75_adj_matrix,greedy,2,1193.28,2.000025547000405,13,5,183784,0,time_limit
graph_n9_d75_adj_matrix,local,0,1193.28,2.0009376220004924,15,1,1000,0,time_limit
graph_n9_d75_adj_matrix,local,1,1193.28,2.0017559679999977,20,2,1073,0,time_limit
graph_n9_d75_adj_matrix,local,2,1193.28,2.0010171230005653,16,2,982,0,time_limit
graph_n15_d75_adj_matrix,random,0,2700.42,0.009723088000100688,400,5,35,0,max_candidates
graph_n15_d75_adj_matrix,random,1,2789.36,0.009600445999240037,400,9,0,0,max_candidates
graph_n15_d75_adj_matrix,random,2,2540.9900000000002,2.0000366950007447,234,4,107492,0,time_limit
graph_n15_d75_adj_matrix,greedy,0,3030.98,2.000040478000301,97,2,96898,0,time_limit
graph_n15_d75_adj_matrix,greedy,1,3030.98,0.10438910199991369,400,4,3776,0,max_candidates
graph_n15_d75_adj_matrix,greedy,2,3030.98,0.239957792999121,400,5,9192,0,max_candidates
graph_n15_d75_adj_matrix,local,0,3030.98,2.000206992999665,192,4,499,0,time_limit
graph_n15_d75_adj_matrix,local,1,2874.4,2.0009322410005552,69,5,937,0,time_limit
graph_n15_d75_adj_matrix,local,2,3030.98,2.002009559999351,194,2,590,0,time_limit
graph_n19_d75_adj_matrix,random,0,2623.39,0.01298448899979121,400,8,0,0,max_candidates
graph_n19_d75_adj_matrix,random,1,2686.82,0.01331330300126865,400,8,0,0,max_candidates
graph_n19_d75_adj_matrix,random,2,2572.88,0.013311626998984138,400,5,0,0,max_candidates
graph_n19_d75_adj_matrix,greedy,0,2876.91,0.0348749160002626,400,7,442,0,max_candidates
graph_n19_d75_adj_matrix,greedy,1,2872.74,0.03596863799975836,400,8,354,0,max_candidates
graph_n19_d75_adj_matrix,greedy,2,2872.74,0.05748897500052408,400,7,1008,0,max_candidates
graph_n19_d75_adj_matrix,local,0,2872.74,2.0025220710012945,308,12,226,0,time_limit
graph_n19_d75_adj_matrix,local,1,2866.01,2.001903701999254,293,5,264,0,time_limit
graph_n19_d75_adj_matrix,local,2,2872.74,2.0014097220009717,304,4,255,0,time_limit
graph_n7_d25_adj_matrix,random,0,720.81,2.000019881999833,6,3,374487,0,time_limit
graph_n7_d25_adj_matrix,random,1,720.81,2.000032044999898,6,1,357237,0,time_limit
graph_n7_d25_adj_matrix,random,2,720.81,2.0000157819995366,8,2,375061,0,time_limit
graph_n7_d25_adj_matrix,greedy,0,720.81,2.0000191449998965,2,1,386670,0,time_limit
graph_n7_d25_adj_matrix,greedy,1,720.81,2.0000188060002984,3,2,367815,0,time_limit
graph_n7_d25_adj_matrix,greedy,2,720.81,2.0000151849999384,3,2,373549,0,time_limit
graph_n7_d25_adj_matrix,local,0,720.81,2.0008698479996383,1,1,1304,0,time_limit
graph_n7_d25_adj_matrix,local,1,720.81,2.001054030999512,1,1,1280,0,time_limit
